time_ISO	occupancy	number_date_hour	day_text	hour	time_HH_MM
2026-01-13T09:49:30.042040+01:00	7	46035,40938	Út	9	09:49
2026-01-13T10:15:43.026274+01:00	8	46035,42758	Út	10	10:15
2026-01-13T10:44:58.716157+01:00	12	46035,44789	Út	10	10:44
2026-01-13T10:58:01.556845+01:00	14	46035,45696	Út	10	10:58
2026-01-13T11:27:55.413595+01:00	14	46035,47772	Út	11	11:27
2026-01-13T11:50:57.819906+01:00	13	46035,49372	Út	11	11:50
2026-01-13T12:01:09.623129+01:00	ERROR	46035,5008	Út	12	12:01
2026-01-13T12:29:19.217857+01:00	12	46035,52036	Út	12	12:29
2026-01-13T12:44:19.844242+01:00	14	46035,53078	Út	12	12:44
2026-01-13T12:54:03.311218+01:00	13	46035,53753	Út	12	12:54
2026-01-13T13:29:31.060595+01:00	12	46035,56216	Út	13	13:29
2026-01-13T14:56:13.919751+01:00	30	46035,62237	Út	14	14:56
2026-01-13T15:23:36.518510+01:00	29	46035,64139	Út	15	15:23
2026-01-13T15:49:57.477816+01:00	25	46035,65969	Út	15	15:49
2026-01-13T16:12:03.618614+01:00	30	46035,67503	Út	16	16:12
2026-01-13T16:42:36.532215+01:00	30	46035,69625	Út	16	16:42
2026-01-13T16:59:00.870632+01:00	30	46035,70764	Út	16	16:59
2026-01-13T17:38:56.252581+01:00	30	46035,73537	Út	17	17:38
2026-01-13T18:02:13.427091+01:00	30	46035,75154	Út	18	18:02
2026-01-13T18:36:35.117725+01:00	30	46035,77541	Út	18	18:36
2026-01-13T18:54:49.859939+01:00	24	46035,78807	Út	18	18:54
2026-01-13T19:24:59.796351+01:00	26	46035,80902	Út	19	19:24
2026-01-13T19:53:51.757005+01:00	30	46035,82906	Út	19	19:53
2026-01-13T20:14:53.755143+01:00	30	46035,84367	Út	20	20:14
2026-01-13T20:32:55.703577+01:00	23	46035,85619	Út	20	20:32
2026-01-13T20:43:22.096549+01:00	18	46035,86345	Út	20	20:43
2026-01-13T20:52:34.321593+01:00	11	46035,86984	Út	20	20:52
2026-01-13T21:12:09.556851+01:00	1	46035,88344	Út	21	21:12
2026-01-14T08:21:39.975049+01:00	0	46036,34837	St	8	08:21
2026-01-14T08:42:58.233314+01:00	0	46036,36317	St	8	08:42
2026-01-14T08:53:56.871942+01:00	0	46036,37079	St	8	08:53
2026-01-14T09:19:35.078503+01:00	6	46036,3886	St	9	09:19
2026-01-14T09:52:39.728232+01:00	19	46036,41156	St	9	09:52
2026-01-14T10:16:37.592462+01:00	20	46036,42821	St	10	10:16
2026-01-14T10:46:22.004919+01:00	ERROR	46036,44887	St	10	10:46
2026-01-14T10:58:46.762768+01:00	18	46036,45748	St	10	10:58
2026-01-14T11:31:16.513793+01:00	24	46036,48005	St	11	11:31
2026-01-14T11:53:40.376416+01:00	19	46036,4956	St	11	11:53
2026-01-14T12:14:12.404556+01:00	18	46036,50986	St	12	12:14
2026-01-14T12:35:07.132455+01:00	11	46036,52439	St	12	12:35
2026-01-14T12:48:54.120018+01:00	14	46036,53396	St	12	12:48
2026-01-14T12:57:44.295439+01:00	11	46036,54009	St	12	12:57
2026-01-14T13:51:52.378876+01:00	12	46036,57769	St	13	13:51
2026-01-14T14:32:22.807824+01:00	9	46036,60581	St	14	14:32
2026-01-14T14:59:45.580366+01:00	11	46036,62483	St	14	14:59
2026-01-14T15:33:04.078189+01:00	11	46036,64796	St	15	15:33
2026-01-14T15:55:33.305768+01:00	13	46036,66358	St	15	15:55
2026-01-14T16:21:43.338432+01:00	30	46036,68175	St	16	16:21
2026-01-14T16:42:40.989042+01:00	30	46036,6963	St	16	16:42
2026-01-14T16:56:15.735041+01:00	29	46036,70573	St	16	16:56
2026-01-14T17:28:29.668592+01:00	30	46036,72811	St	17	17:28
2026-01-14T17:58:01.624498+01:00	30	46036,74862	St	17	17:58
2026-01-14T18:29:47.026910+01:00	30	46036,77068	St	18	18:29
2026-01-14T18:52:48.351856+01:00	30	46036,78667	St	18	18:52
2026-01-14T19:18:01.904963+01:00	30	46036,80418	St	19	19:18
2026-01-14T19:53:02.599411+01:00	30	46036,8285	St	19	19:53
2026-01-14T20:11:34.761919+01:00	24	46036,84137	St	20	20:11
2026-01-14T20:31:29.418367+01:00	19	46036,8552	St	20	20:31
2026-01-14T20:44:18.954681+01:00	9	46036,8641	St	20	20:44
2026-01-14T20:53:30.748326+01:00	6	46036,87049	St	20	20:53
2026-01-14T21:11:56.163348+01:00	1	46036,88329	St	21	21:11
2026-01-15T08:21:49.323206+01:00	0	46037,34848	Čt	8	08:21
2026-01-15T08:42:12.335917+01:00	0	46037,36264	Čt	8	08:42
2026-01-15T08:53:57.204511+01:00	0	46037,3708	Čt	8	08:53
2026-01-15T09:20:45.421334+01:00	9	46037,38941	Čt	9	09:20
2026-01-15T09:50:12.480779+01:00	12	46037,40986	Čt	9	09:50
2026-01-15T10:15:29.449455+01:00	12	46037,42742	Čt	10	10:15
2026-01-15T10:44:16.208653+01:00	15	46037,44741	Čt	10	10:44
2026-01-15T10:57:10.894773+01:00	17	46037,45637	Čt	10	10:57
2026-01-15T11:25:56.676431+01:00	18	46037,47634	Čt	11	11:25
2026-01-15T11:49:27.102875+01:00	15	46037,49267	Čt	11	11:49
2026-01-15T12:00:11.279504+01:00	13	46037,50013	Čt	12	12:00
2026-01-15T12:28:54.523390+01:00	9	46037,52007	Čt	12	12:28
2026-01-15T12:43:43.973947+01:00	9	46037,53036	Čt	12	12:43
2026-01-15T12:53:29.959594+01:00	11	46037,53714	Čt	12	12:53
2026-01-15T13:24:45.746397+01:00	11	46037,55885	Čt	13	13:24
2026-01-15T14:12:34.908968+01:00	14	46037,59206	Čt	14	14:12
2026-01-15T14:52:18.139086+01:00	12	46037,61965	Čt	14	14:52
2026-01-15T15:14:01.477137+01:00	16	46037,63473	Čt	15	15:14
2026-01-15T15:44:02.670661+01:00	24	46037,65558	Čt	15	15:44
2026-01-15T15:59:20.990720+01:00	24	46037,6662	Čt	15	15:59
2026-01-15T16:31:56.478526+01:00	23	46037,68884	Čt	16	16:31
2026-01-15T16:57:15.808661+01:00	25	46037,70642	Čt	16	16:57
2026-01-15T17:36:06.851927+01:00	29	46037,7334	Čt	17	17:36
2026-01-15T18:05:50.129212+01:00	27	46037,75405	Čt	18	18:05
2026-01-15T18:47:21.189316+01:00	19	46037,78288	Čt	18	18:47
2026-01-15T19:18:48.943373+01:00	21	46037,80472	Čt	19	19:18
2026-01-15T19:57:18.855785+01:00	27	46037,83146	Čt	19	19:57
2026-01-15T20:25:00.485388+01:00	18	46037,85069	Čt	20	20:25
2026-01-15T20:44:04.407777+01:00	9	46037,86394	Čt	20	20:44
2026-01-15T20:55:39.966080+01:00	4	46037,87198	Čt	20	20:55
2026-01-16T08:20:56.569636+01:00	0	46038,34787	Pá	8	08:20
2026-01-16T08:41:34.705386+01:00	0	46038,3622	Pá	8	08:41
2026-01-16T08:52:33.167522+01:00	0	46038,36983	Pá	8	08:52
2026-01-16T09:15:16.506706+01:00	7	46038,3856	Pá	9	09:15
2026-01-16T09:47:14.454441+01:00	14	46038,4078	Pá	9	09:47
2026-01-16T10:02:50.063915+01:00	19	46038,41863	Pá	10	10:02
2026-01-16T10:36:44.013626+01:00	20	46038,44218	Pá	10	10:36
2026-01-16T10:52:55.035716+01:00	20	46038,45341	Pá	10	10:52
2026-01-16T11:12:38.395992+01:00	16	46038,46711	Pá	11	11:12
2026-01-16T11:43:41.844108+01:00	17	46038,48867	Pá	11	11:43
2026-01-16T11:57:20.279526+01:00	19	46038,49815	Pá	11	11:57
2026-01-16T12:20:22.460284+01:00	13	46038,51414	Pá	12	12:20
2026-01-16T12:37:21.304644+01:00	14	46038,52594	Pá	12	12:37
2026-01-16T12:49:20.618825+01:00	12	46038,53426	Pá	12	12:49
2026-01-16T12:57:56.537797+01:00	12	46038,54023	Pá	12	12:57
2026-01-16T13:50:53.834671+01:00	23	46038,577	Pá	13	13:50
2026-01-16T14:29:39.418663+01:00	29	46038,60392	Pá	14	14:29
